model_type,model,feature_condition,target_location,target_color,target_shape,train,featural,spatial,conflict
identification,resnetIDEN_maskL_bc_bs,shape,left,blue,circle,0.7506380236072466,0.7104463832552074,0.5339595255076184,0.7606930269247536
identification,resnetIDEN_maskL_bc_gc,color,left,blue,circle,0.7498465376108434,0.6667127283026374,0.9285233152144224,0.7460889967943484
identification,resnetIDEN_maskL_bs_bc,shape,left,blue,square,0.6493043632926885,0.516216198411501,0.5600004008392052,0.7957774620407487
identification,resnetIDEN_maskL_bs_gs,color,left,blue,square,0.8155429051409585,0.6671293613756728,0.8980291827114417,0.7377428434243124
identification,resnetIDEN_maskL_gc_bc,color,left,green,circle,0.8900399461472124,0.7173800507711424,0.7407616837819821,0.6476323990449643
identification,resnetIDEN_maskL_gc_gs,shape,left,green,circle,0.6399977839508404,0.6459527113172291,0.511970640471466,0.8184747594607841
identification,resnetIDEN_maskL_gs_bs,color,left,green,square,0.9040719365807416,0.7072926933280639,0.6393442637976324,0.7466862359155697
identification,resnetIDEN_maskL_gs_gc,shape,left,green,square,0.61026196582922,0.487411083254711,0.4392593363406789,0.7686207929455043
identification,resnetIDEN_maskR_bc_bs,shape,right,blue,square,0.7356930696487998,0.7792096111309865,0.5156189519810185,0.7792748157816916
identification,resnetIDEN_maskR_bc_gc,color,right,green,circle,0.7720707920847886,0.7611320483055208,0.7721786738548626,0.1459406872333644
identification,resnetIDEN_maskR_bs_bc,shape,right,blue,circle,0.8098606873157355,0.8186655825675307,0.5318421383323796,0.5022319482451263
identification,resnetIDEN_maskR_bs_gs,color,right,green,square,0.8605796141724378,0.7965412113138626,0.5087814539541282,0.1108604690946908
identification,resnetIDEN_maskR_gc_bc,color,right,blue,circle,0.8403876077679584,0.7259734992724619,0.8114391171282407,0.1894166678461084
identification,resnetIDEN_maskR_gc_gs,shape,right,green,square,0.7644103025519117,0.7900160818572951,0.3251122897169786,0.6708130280561203
identification,resnetIDEN_maskR_gs_bs,color,right,blue,square,0.845436185907043,0.7981720908790094,0.8257113681907955,0.0984888721065253
identification,resnetIDEN_maskR_gs_gc,shape,right,green,circle,0.8002311172972392,0.7855587009791831,0.6168490328839091,0.46666057677612
individuation,resnetIDIV_maskL_bc_bs,shape,left,blue,circle,0.7125135090433913,0.4436719526546857,0.6587235117474844,0.3559052070497901
individuation,resnetIDIV_maskL_bc_gc,color,left,blue,circle,0.8849604986124296,0.7788049048740961,0.6766895110973074,0.8635628797173978
individuation,resnetIDIV_maskL_bs_bc,shape,left,blue,square,0.6857671998421981,0.5840755469333572,0.5774008673479437,0.4874979227713858
individuation,resnetIDIV_maskL_bs_gs,color,left,blue,square,0.9035279174586184,0.791392462509797,0.7146744170608889,0.7673300076174965
individuation,resnetIDIV_maskL_gc_bc,color,left,green,circle,0.9065116203541153,0.7145075286795036,0.6600113504673891,0.7358667030981544
individuation,resnetIDIV_maskL_gc_gs,shape,left,green,circle,0.738996560222903,0.4906636154371032,0.6930098587217313,0.3095726855921481
individuation,resnetIDIV_maskL_gs_bs,color,left,green,square,0.9466591089451156,0.6562671793404172,0.7845495398734599,0.3340710967837957
individuation,resnetIDIV_maskL_gs_gc,shape,left,green,square,0.7271024783245674,0.5266467032503439,0.6744601542527695,0.3749099648364012
individuation,resnetIDIV_maskR_bc_bs,shape,right,blue,square,0.7361105424428324,0.5566977261343937,0.7918234509057562,0.1708992519924624
individuation,resnetIDIV_maskR_bc_gc,color,right,green,circle,0.7272917262782003,0.6558107523075007,0.8193894399290346,0.1011491606836609
individuation,resnetIDIV_maskR_bs_bc,shape,right,blue,circle,0.8271831577052242,0.5035857269381793,0.7985839754491351,0.2493288471925741
individuation,resnetIDIV_maskR_bs_gs,color,right,green,square,0.760647722526067,0.6439050617257842,0.8074545014601944,0.1610585869413638
individuation,resnetIDIV_maskR_gc_bc,color,right,blue,circle,0.8815097815793907,0.5936866091839448,0.7932201807534798,0.3005901378460981
individuation,resnetIDIV_maskR_gc_gs,shape,right,green,square,0.8063990516775622,0.5193295161601855,0.8035053067046288,0.1862533685434791
individuation,resnetIDIV_maskR_gs_bs,color,right,blue,square,0.8106859965576836,0.7176419595939665,0.7810881173652344,0.2596063278525344
individuation,resnetIDIV_maskR_gs_gc,shape,right,green,circle,0.8032973335379721,0.5514599099902787,0.8155627135029856,0.1606079395152555
