image,iden_precision_acc,iden_recall_acc,idiv_precision_acc,idiv_recall_acc,random_precision_acc,random_recall_acc
000000000285.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000000724.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000000776.jpg,1.0,0.5,0.0,0.0,0.0,0.0
000000000802.jpg,1.0,0.5,1.0,0.5,0.0,0.0
000000001425.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000001503.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000001532.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000001675.jpg,0.0,0.0,1.0,0.5,0.0,0.0
000000001818.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000001993.jpg,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
000000002157.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000002592.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000004495.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000004795.jpg,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
000000005477.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000005503.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000005600.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000005992.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000007108.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000007386.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000007784.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000007795.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000007818.jpg,0.5,1.0,0.5,1.0,0.0,0.0
000000007991.jpg,0.5,0.5,0.0,0.0,0.0,0.0
000000008629.jpg,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
000000010092.jpg,1.0,0.5,1.0,0.5,0.0,0.0
000000010363.jpg,0.5,0.5,0.0,0.0,0.0,0.0
000000010583.jpg,1.0,1.0,1.0,0.5,0.0,0.0
000000010995.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000011760.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000011813.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000012062.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000013597.jpg,0.6666666666666666,1.0,1.0,0.5,0.0,0.0
000000013923.jpg,1.0,1.0,1.0,0.5,0.0,0.0
000000014007.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000014831.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000014888.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000015079.jpg,0.25,0.5,0.5,0.5,0.0,0.0
000000015254.jpg,0.25,0.3333333333333333,0.0,0.0,0.0,0.0
000000015272.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000015497.jpg,0.5,0.5,0.0,0.0,0.0,0.0
000000015746.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000015751.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000016439.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000016958.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000017029.jpg,1.0,0.5,0.0,0.0,0.0,0.0
000000017031.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000017115.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000017178.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000018575.jpg,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0
000000018737.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000018833.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000019742.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000020059.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000020107.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000020247.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000020553.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000021465.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000022192.jpg,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
000000022396.jpg,1.0,1.0,0.0,0.0,1.0,1.0
000000022589.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000022623.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000022755.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000022892.jpg,0.0,0.0,1.0,0.2,0.0,0.0
000000023023.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000023272.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000024144.jpg,0.0,0.0,0.5,1.0,0.0,0.0
000000024610.jpg,0.5,0.5,1.0,1.0,0.0,0.0
000000024919.jpg,0.5,1.0,0.0,0.0,0.0,0.0
000000025139.jpg,1.0,1.0,0.5,1.0,0.0,0.0
000000026564.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000026926.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000027620.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000027932.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000028449.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000028452.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000029596.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000029675.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000030494.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000031050.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000031248.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000031269.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000031735.jpg,1.0,0.5,0.5,0.5,0.0,0.0
000000031749.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000032610.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000033109.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000033114.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000033707.jpg,0.0,0.0,1.0,1.0,0.0,0.0
000000034071.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000035326.jpg,1.0,1.0,0.0,0.0,0.0,0.0
000000035963.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000036678.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000036844.jpg,1.0,0.5,1.0,0.5,0.0,0.0
000000038070.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000038576.jpg,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
000000038825.jpg,1.0,1.0,1.0,1.0,0.0,0.0
000000039477.jpg,0.0,0.0,0.0,0.0,0.0,0.0
000000039769.jpg,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
