Subj,Sex,Age,Condition,tLoc,tShape,tCol,TrainCount,AvgTrain,Overall_Training,Overall_Space,Overall_Feature,Overall_Conflict,B1_Training,B1_Space,B1_Feature,B1_Conflict,B2_Training,B2_Space,B2_Feature,B2_Conflict,Color_Training,Color_Space,Color_Feature,Color_Conflict,Shape_Training,Shape_Space,Shape_Feature,Shape_Conflict,B1_Color_Training,B1_Color_Space,B1_COlor_Feature,B1_Color_Conflict,B1_Shape_Training,B1_Shape_Space,B1_Shape_Feature,B1_Shape_Conflict
1,M,4,Shape,Left,Square,Green,114,4.75,0.964912281,0.625,0.5,0.75,0.933333333,1,1,1,1,1,0,0,0.966101695,0.25,0.5,1,0.963636364,1,0.5,0.5,NaN,NaN,NaN,NaN,0.933333333,1,1,1
2,M,4.41,Color,Right,Circle,lBlue,127,5.291666667,0.913385827,0.75,0.5,0.5,0.882352941,1,1,1,0.928571429,1,0,0,0.903225806,1,0.5,0.5,0.923076923,0.5,0.5,0.5,0.882352941,1,1,1,NaN,NaN,NaN,NaN
3,F,3.9,Shape,Right,Square,Green,116,5.227272727,0.939655172,0.375,0.428571429,0.714285714,0.933333333,1,0,0,1,0,1,1,0.913793103,0.25,0.333333333,0.666666667,0.965517241,0.5,0.5,0.75,NaN,NaN,NaN,NaN,0.933333333,1,0,0
4,M,4.2,Color,Left,Circle,lBlue,72,5.307692308,0.958333333,1,1,0.75,0.941176471,1,1,0,1,1,1,1,0.951219512,1,1,0.5,0.967741935,1,1,1,0.941176471,1,1,0,NaN,NaN,NaN,NaN
5,M,4.4,Shape,Left,Square,Green,125,5.208333333,0.968,0.625,0.875,1,0.888888889,1,1,1,1,1,0,1,0.983606557,0.5,1,1,0.953125,0.75,0.75,1,NaN,NaN,NaN,NaN,0.888888889,1,1,1
6,F,4.5,Color,Right,Circle,lBlue,163,6.791666667,0.889570552,0.875,0.625,0.75,0.944444444,1,1,1,0.944444444,1,1,0,0.929577465,1,0.75,0.75,0.858695652,0.75,0.5,0.75,0.944444444,1,1,1,NaN,NaN,NaN,NaN
7,M,3.66,Shape,Right,Square,Green,126,5.25,0.873015873,0.5,0.625,0.75,0.833333333,1,1,0,1,1,0,1,0.857142857,0.25,0.75,0.75,0.892857143,0.75,0.5,0.75,NaN,NaN,NaN,NaN,0.833333333,1,1,0
8,F,4.69,Color,Left,Circle,lBlue,98,4.083333333,0.918367347,0.75,1,1,0.928571429,1,1,1,1,1,1,1,0.884615385,0.75,1,1,0.956521739,0.75,1,1,0.928571429,1,1,1,NaN,NaN,NaN,NaN
9,M,3.55,Shape,Left,Square,Green,122,5.083333333,0.893442623,0.75,1,0.625,0.882352941,1,1,0,1,1,1,1,0.855072464,0.75,1,0.5,0.943396226,0.75,1,0.75,NaN,NaN,NaN,NaN,0.882352941,1,1,0
10,M,3.5,Color,Right,Circle,lBlue,98,4.083333333,0.93877551,0.875,1,0.875,1,1,1,1,1,1,1,1,0.93877551,1,1,0.75,0.93877551,0.75,1,1,1,1,1,1,NaN,NaN,NaN,NaN
